epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0255,1.23113,4.37336,1.84244,0.02085,0.49192,0.0486,0.03991,0.54787,3.6037,0.96217,8.25688e-05,8.25688e-05,8.25688e-05
2,24.3777,0.70562,3.7573,1.40534,0.46107,0.23237,0.16759,0.14704,0.53838,2.73901,0.9449,0.000161796,0.000161796,0.000161796
3,35.5069,0.69976,3.29606,1.39184,0.51439,0.36498,0.31589,0.30021,0.42386,2.46508,0.78624,0.000236898,0.000236898,0.000236898
4,46.578,0.69042,2.90213,1.37334,0.47502,0.56637,0.54922,0.51528,0.4487,1.83078,0.77017,0.000231438,0.000231438,0.000231438
5,57.7122,0.656,2.64062,1.34295,0.49578,0.6458,0.64473,0.61227,0.38246,1.65851,0.66508,0.00022525,0.00022525,0.00022525
6,68.9839,0.5915,2.40243,1.29048,0.50637,0.76121,0.73734,0.64935,0.55533,1.49459,0.78474,0.000219062,0.000219062,0.000219062
7,80.2891,0.56794,2.20338,1.27507,0.59511,0.81973,0.79921,0.72211,0.51333,1.27903,0.75604,0.000212875,0.000212875,0.000212875
8,91.5308,0.54233,2.06239,1.24082,0.7078,0.86567,0.83975,0.78325,0.36354,1.088,0.59209,0.000206688,0.000206688,0.000206688
9,102.922,0.52327,1.934,1.23299,0.73319,0.83363,0.85073,0.78088,0.42842,1.05759,0.65091,0.0002005,0.0002005,0.0002005
10,114.22,0.5035,1.83036,1.21252,0.82579,0.87058,0.89663,0.82056,0.47681,0.94595,0.72211,0.000194313,0.000194313,0.000194313
11,125.588,0.48487,1.75933,1.20587,0.80345,0.89933,0.90088,0.8491,0.35586,0.84659,0.57672,0.000188125,0.000188125,0.000188125
12,137.051,0.47707,1.69588,1.20096,0.85825,0.8702,0.92185,0.85647,0.37645,0.79476,0.58282,0.000181937,0.000181937,0.000181937
13,148.48,0.47268,1.64274,1.19661,0.80206,0.93088,0.92375,0.87353,0.3615,0.78846,0.58165,0.00017575,0.00017575,0.00017575
14,159.845,0.44817,1.577,1.17615,0.87966,0.9122,0.94212,0.87595,0.40677,0.7218,0.63052,0.000169563,0.000169563,0.000169563
15,171.28,0.44527,1.53704,1.16587,0.83586,0.93388,0.93225,0.87953,0.36159,0.693,0.56477,0.000163375,0.000163375,0.000163375
16,182.885,0.43228,1.4828,1.16463,0.86683,0.94439,0.95131,0.90327,0.34372,0.64246,0.54278,0.000157188,0.000157188,0.000157188
17,194.338,0.4282,1.43573,1.15739,0.85244,0.94446,0.95295,0.90415,0.34281,0.63729,0.54319,0.000151,0.000151,0.000151
18,205.811,0.41923,1.40932,1.14838,0.89391,0.94393,0.95139,0.88854,0.39433,0.6152,0.58728,0.000144812,0.000144812,0.000144812
19,217.292,0.40207,1.39605,1.13833,0.8826,0.92631,0.95515,0.90353,0.37247,0.61305,0.59037,0.000138625,0.000138625,0.000138625
20,228.856,0.40595,1.36281,1.14216,0.89744,0.96351,0.9585,0.92198,0.32515,0.59666,0.5193,0.000132438,0.000132438,0.000132438
21,240.315,0.39252,1.29964,1.12631,0.89753,0.94339,0.95661,0.91879,0.37057,0.58956,0.57042,0.00012625,0.00012625,0.00012625
22,251.781,0.40292,1.30898,1.13539,0.92831,0.95704,0.96431,0.91871,0.37785,0.54985,0.56466,0.000120063,0.000120063,0.000120063
23,263.395,0.39515,1.28837,1.12421,0.88701,0.95023,0.96407,0.91877,0.36583,0.55853,0.5426,0.000113875,0.000113875,0.000113875
24,274.917,0.38322,1.24849,1.12239,0.93818,0.93754,0.96802,0.92145,0.3611,0.53063,0.5592,0.000107688,0.000107688,0.000107688
25,286.51,0.37306,1.24955,1.11459,0.91087,0.94683,0.96363,0.92965,0.33665,0.53721,0.50244,0.0001015,0.0001015,0.0001015
26,298.084,0.36197,1.18749,1.10701,0.89556,0.9545,0.96049,0.9303,0.28677,0.51801,0.45485,9.53125e-05,9.53125e-05,9.53125e-05
27,309.724,0.35677,1.19581,1.10656,0.90833,0.95186,0.95972,0.92994,0.285,0.49037,0.46176,8.9125e-05,8.9125e-05,8.9125e-05
28,321.353,0.35705,1.17647,1.10522,0.89806,0.96259,0.96646,0.93552,0.3164,0.50426,0.49751,8.29375e-05,8.29375e-05,8.29375e-05
29,332.993,0.353,1.16554,1.09762,0.93977,0.95917,0.96865,0.9349,0.27703,0.48502,0.44813,7.675e-05,7.675e-05,7.675e-05
30,344.67,0.35459,1.16009,1.10254,0.91582,0.95249,0.96467,0.93131,0.27651,0.4765,0.4448,7.05625e-05,7.05625e-05,7.05625e-05
31,356.967,0.15901,0.8686,1.00809,0.89942,0.95411,0.96758,0.93544,0.25901,0.47668,0.41589,6.4375e-05,6.4375e-05,6.4375e-05
32,368.72,0.13174,0.68632,0.99037,0.93471,0.9528,0.97368,0.94222,0.24903,0.42882,0.38993,5.81875e-05,5.81875e-05,5.81875e-05
