epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6921,0.99217,3.79059,1.42618,0.96509,0.10675,0.16069,0.13049,0.68005,2.12289,1.24201,9.73099e-05,9.73099e-05,9.73099e-05
2,30.9131,0.87126,2.29253,1.30501,0.46167,0.34766,0.29701,0.25181,0.67485,1.57978,1.19247,0.000191443,0.000191443,0.000191443
3,44.8084,0.83977,1.86501,1.26415,0.47789,0.53342,0.43118,0.37218,0.66118,1.32508,1.1608,0.000281695,0.000281695,0.000281695
4,58.6749,0.80838,1.64876,1.23326,0.40927,0.69404,0.56447,0.49138,0.62101,1.25718,1.12403,0.000276536,0.000276536,0.000276536
5,72.6457,0.7975,1.45548,1.21331,0.38983,0.69276,0.61299,0.53616,0.62364,1.10724,1.12278,0.000270715,0.000270715,0.000270715
6,86.6058,0.76212,1.3001,1.1793,0.52994,0.69078,0.69989,0.61839,0.59628,0.99505,1.0887,0.000264894,0.000264894,0.000264894
7,100.685,0.75622,1.22486,1.17426,0.58294,0.70726,0.7151,0.62353,0.60789,0.921,1.11125,0.000259073,0.000259073,0.000259073
8,114.948,0.73154,1.1443,1.15492,0.58904,0.70956,0.7455,0.66529,0.58468,0.89032,1.076,0.000253252,0.000253252,0.000253252
9,129.197,0.73183,1.08193,1.16725,0.68771,0.77012,0.80371,0.71825,0.58088,0.81119,1.08261,0.00024743,0.00024743,0.00024743
10,143.676,0.71077,1.02786,1.14819,0.63373,0.79822,0.78249,0.69187,0.57899,0.8164,1.08084,0.000241609,0.000241609,0.000241609
11,158.037,0.69951,0.95974,1.13396,0.7257,0.71998,0.80485,0.71613,0.54564,0.71586,1.05123,0.000235788,0.000235788,0.000235788
12,172.297,0.716,0.96842,1.14201,0.71739,0.78476,0.84069,0.75023,0.57107,0.68811,1.0656,0.000229967,0.000229967,0.000229967
13,186.704,0.68177,0.88812,1.11958,0.65025,0.85652,0.8666,0.78765,0.54168,0.64922,1.04858,0.000224146,0.000224146,0.000224146
14,200.953,0.69497,0.85875,1.13222,0.76925,0.78399,0.87234,0.78807,0.53524,0.62425,1.04808,0.000218324,0.000218324,0.000218324
15,215.589,0.66905,0.81985,1.11271,0.8317,0.75248,0.86772,0.78581,0.55792,0.62913,1.05353,0.000212503,0.000212503,0.000212503
16,229.954,0.67282,0.77347,1.11167,0.75196,0.84548,0.86915,0.79566,0.51587,0.61613,1.02471,0.000206682,0.000206682,0.000206682
