epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1181,1.74051,5.94767,1.91969,0.00223,0.03926,0.01247,0.00866,1.49405,4.65499,1.63002,3.01685e-05,3.01685e-05,3.01685e-05
2,58.3004,1.38081,5.34369,1.49158,0.01281,0.51883,0.04432,0.03191,1.3414,3.98805,1.48877,5.85053e-05,5.85053e-05,5.85053e-05
3,78.604,1.34031,4.88223,1.45708,0.54921,0.12841,0.10219,0.06948,1.38427,3.46328,1.57621,8.484e-05,8.484e-05,8.484e-05
4,98.9991,1.34,4.47622,1.45199,0.60061,0.15857,0.15006,0.09621,1.37804,3.28235,1.54695,8.1991e-05,8.1991e-05,8.1991e-05
5,119.344,1.30633,4.08474,1.43449,0.44777,0.29341,0.25105,0.16992,1.35885,2.64829,1.56174,7.8988e-05,7.8988e-05,7.8988e-05
6,139.69,1.29476,3.78433,1.40833,0.43415,0.40342,0.36075,0.24979,1.30586,2.31652,1.49471,7.5985e-05,7.5985e-05,7.5985e-05
7,160.203,1.29998,3.56987,1.42868,0.47085,0.43364,0.44858,0.29722,1.29936,2.21189,1.50431,7.2982e-05,7.2982e-05,7.2982e-05
8,180.81,1.27259,3.32183,1.40529,0.61838,0.41863,0.52412,0.35964,1.2772,1.97944,1.47561,6.9979e-05,6.9979e-05,6.9979e-05
9,201.451,1.2602,3.16422,1.38964,0.58273,0.5647,0.60548,0.41704,1.24568,1.78091,1.47241,6.6976e-05,6.6976e-05,6.6976e-05
10,221.902,1.23258,2.99947,1.36725,0.615,0.59513,0.67064,0.46507,1.20725,1.62154,1.4347,6.3973e-05,6.3973e-05,6.3973e-05
11,242.327,1.21347,2.84571,1.34981,0.62144,0.60663,0.67982,0.46184,1.2482,1.61017,1.45562,6.097e-05,6.097e-05,6.097e-05
12,262.908,1.21438,2.74921,1.35191,0.6602,0.66225,0.72281,0.48891,1.20823,1.43238,1.42007,5.7967e-05,5.7967e-05,5.7967e-05
13,283.371,1.19549,2.59604,1.33523,0.76474,0.65336,0.76637,0.51139,1.26269,1.39763,1.44621,5.4964e-05,5.4964e-05,5.4964e-05
14,303.774,1.16768,2.55286,1.31428,0.71223,0.7206,0.78138,0.54604,1.2002,1.3654,1.4182,5.1961e-05,5.1961e-05,5.1961e-05
15,324.348,1.17725,2.41829,1.3172,0.77531,0.69565,0.79496,0.54964,1.1934,1.25203,1.40549,4.8958e-05,4.8958e-05,4.8958e-05
16,344.792,1.14815,2.36076,1.30939,0.74708,0.74336,0.82157,0.57339,1.17464,1.22311,1.38371,4.5955e-05,4.5955e-05,4.5955e-05
17,365.191,1.14145,2.27903,1.298,0.72458,0.76133,0.83487,0.5849,1.16291,1.19486,1.38481,4.2952e-05,4.2952e-05,4.2952e-05
18,385.698,1.12821,2.22827,1.28733,0.75045,0.76749,0.84179,0.58672,1.16363,1.17591,1.37371,3.9949e-05,3.9949e-05,3.9949e-05
19,406.282,1.11401,2.17975,1.28936,0.81022,0.76751,0.87255,0.606,1.16499,1.1478,1.37863,3.6946e-05,3.6946e-05,3.6946e-05
20,426.768,1.09764,2.09634,1.27278,0.81029,0.78199,0.87111,0.60165,1.17883,1.13974,1.39126,3.3943e-05,3.3943e-05,3.3943e-05
21,447.925,0.99366,2.02867,1.29445,0.84796,0.76815,0.87348,0.61565,1.14566,1.09994,1.36354,3.094e-05,3.094e-05,3.094e-05
22,468.309,0.98493,1.92887,1.27919,0.83176,0.79435,0.88963,0.62961,1.14362,1.05584,1.35386,2.7937e-05,2.7937e-05,2.7937e-05
23,488.706,0.9635,1.86998,1.28123,0.82409,0.79967,0.89136,0.63627,1.12295,1.03503,1.33737,2.4934e-05,2.4934e-05,2.4934e-05
24,509.176,0.95397,1.82608,1.26684,0.83127,0.82522,0.88729,0.64026,1.11058,1.00111,1.32797,2.1931e-05,2.1931e-05,2.1931e-05
25,529.571,0.94595,1.78546,1.25537,0.81951,0.85524,0.90695,0.65241,1.10967,0.99278,1.33545,1.8928e-05,1.8928e-05,1.8928e-05
26,549.98,0.93626,1.76175,1.25729,0.86614,0.80396,0.90611,0.65328,1.10762,0.94515,1.32348,1.5925e-05,1.5925e-05,1.5925e-05
27,570.388,0.92232,1.71071,1.24146,0.84491,0.83935,0.90932,0.65319,1.0971,0.93035,1.30994,1.2922e-05,1.2922e-05,1.2922e-05
28,590.674,0.91676,1.70136,1.23883,0.87347,0.82724,0.91213,0.66024,1.09464,0.93859,1.315,9.919e-06,9.919e-06,9.919e-06
29,610.961,0.90779,1.66128,1.23731,0.86852,0.82882,0.91118,0.65943,1.09848,0.93067,1.31674,6.916e-06,6.916e-06,6.916e-06
30,631.443,0.90324,1.64725,1.2275,0.8375,0.85273,0.91201,0.66136,1.08855,0.92437,1.3086,3.913e-06,3.913e-06,3.913e-06
